srcIP,dstIP,protocol,sPort,dPort,activity
214,776,17,21,79,normal
933,79,6,21,80,normal
139,243,17,53,80,normal
920,198,6,80,21,normal
100,174,17,20,21,normal
756,435,17,80,79,normal
669,409,6,53,80,normal
518,57,6,68,23,normal
785,389,17,22,68,normal
485,657,17,25,21,normal
859,738,17,23,80,normal
127,241,17,23,20,normal
57,265,17,53,79,normal
195,679,17,25,53,normal
812,499,6,53,14,anomaly
3,956,6,53,53,normal
226,492,6,68,22,normal
937,631,17,68,80,normal
730,343,89,20,68,normal
909,73,1,21,22,normal
844,676,89,80,21,normal
244,812,17,22,22,normal
93,724,6,20,53,normal
869,937,17,79,53,normal
823,78,1,53,21,normal
556,47,6,25,23,normal
669,235,17,80,80,normal
26,99,1,22,80,normal
786,26,17,53,53,normal
311,932,17,22,25,normal
397,730,6,21,80,normal
337,359,6,80,21,normal
208,339,17,23,22,normal
368,186,17,53,25,normal
20,184,6,21,80,normal
592,326,6,80,53,normal
10,211,17,23,79,normal
777,404,6,23,80,normal
757,212,6,80,20,normal
496,6,6,68,79,normal
882,772,17,23,21,normal
637,310,17,80,53,normal
465,94,1,80,80,normal
209,492,17,80,80,normal
770,773,1,22,79,normal
294,68,6,53,68,normal
938,619,6,25,23,normal
37,481,6,25,23,normal
945,710,17,80,22,normal
716,753,1,22,80,normal
803,752,6,53,22,normal
73,51,6,23,53,normal
22,572,17,53,22,normal
825,688,17,80,53,normal
328,404,1,20,21,normal
642,682,17,23,21,normal
681,478,89,25,53,normal
74,25,17,53,80,normal
249,619,17,53,25,normal
859,387,6,23,20,normal
165,505,17,68,21,normal
739,906,17,80,53,normal
617,29,17,80,79,normal
216,134,17,79,53,normal
288,54,6,23,25,normal
540,914,17,53,22,normal
975,151,17,22,80,normal
247,598,17,53,21,normal
897,767,17,21,53,normal
303,92,17,80,21,normal
422,60,6,22,80,normal
881,164,6,20,20,normal
832,209,1,53,79,normal
943,520,89,68,21,normal
524,697,17,22,23,normal
222,347,6,80,80,normal
621,158,6,80,22,normal
760,648,6,80,53,normal
725,335,6,22,53,normal
717,19,6,25,23,normal
699,238,6,53,20,normal
101,487,6,80,53,normal
435,437,17,80,53,normal
842,887,89,23,22,normal
266,627,17,22,20,normal
882,805,17,25,80,normal
389,134,6,68,53,normal
312,559,17,68,25,normal
229,507,6,22,80,normal
362,696,6,53,53,normal
19,703,6,79,53,normal
731,596,6,22,80,normal
225,938,6,22,53,normal
113,178,17,22,80,normal
951,256,17,22,53,normal
902,564,6,80,80,normal
593,419,6,80,21,normal
741,351,17,53,53,normal
827,939,6,23,53,normal
608,82,6,53,53,normal
321,341,17,80,80,normal
100,393,6,79,80,normal
351,734,1,68,68,normal
311,213,6,80,20,normal
934,781,17,25,21,normal
472,94,17,80,21,normal
821,2,6,22,53,normal
187,706,89,21,25,normal
880,630,17,80,23,normal
166,175,17,20,21,normal
742,240,1,20,80,normal
796,88,17,80,21,normal
199,760,17,53,53,normal
839,829,6,21,21,normal
438,691,6,80,80,normal
876,18,6,20,23,normal
832,762,6,80,53,normal
275,559,17,23,23,normal
698,668,6,53,53,normal
594,792,17,23,21,normal
941,331,6,20,21,normal
126,463,17,22,21,normal
901,318,1,53,80,normal
373,671,17,80,80,normal
522,553,6,23,68,normal
657,790,17,53,21,normal
491,1,89,53,21,normal
916,729,1,80,80,normal
853,609,17,22,53,normal
890,362,17,25,53,normal
574,661,17,80,79,normal
306,410,17,21,80,normal
864,659,6,23,53,normal
989,468,6,23,20,normal
397,16,17,53,53,normal
42,484,1,21,22,normal
130,545,6,22,80,normal
91,237,17,21,53,normal
407,682,6,80,79,normal
384,230,6,22,53,normal
295,145,17,20,23,normal
823,295,17,53,20,normal
751,741,17,22,22,normal
78,582,6,20,25,normal
761,192,6,22,80,normal
457,602,89,25,25,normal
125,775,6,23,80,normal
630,220,1,79,23,normal
406,783,6,53,80,normal
418,323,17,53,20,normal
21,892,6,22,53,normal
479,784,17,80,80,normal
485,214,17,23,22,normal
95,837,6,21,80,normal
478,476,89,22,23,normal
116,704,6,22,22,normal
474,927,6,23,53,normal
564,879,17,53,23,normal
963,798,89,23,23,normal
309,363,17,22,21,normal
745,116,6,53,53,normal
365,800,17,79,80,normal
718,830,6,23,80,normal
353,76,17,80,20,normal
648,983,17,79,80,normal
843,779,6,22,53,normal
984,42,6,23,25,normal
661,59,6,20,53,normal
941,174,17,20,21,normal
533,507,6,20,80,normal
230,710,1,20,68,normal
39,143,17,80,80,normal
993,509,6,80,53,normal
530,931,6,25,79,normal
911,911,89,20,80,normal
849,755,89,22,53,normal
861,95,17,21,80,normal
237,177,6,79,23,normal
56,572,17,80,21,normal
774,762,6,21,21,normal
859,660,17,22,53,normal
425,467,6,21,53,normal
995,913,6,80,22,normal
371,324,6,23,23,normal
938,538,6,53,25,normal
176,629,6,53,25,normal
52,830,6,53,21,normal
699,384,17,80,25,normal
421,761,6,80,25,normal
201,956,6,68,21,normal
739,732,17,80,53,normal
20,367,17,53,80,normal
832,251,17,23,21,normal
478,351,6,53,80,normal
47,583,6,23,53,normal
796,499,6,68,22,anomaly
463,172,17,53,53,normal
942,793,6,80,23,normal
67,466,6,22,80,normal
304,431,6,23,25,normal
862,55,1,80,20,normal
744,321,17,53,80,normal
134,418,17,53,53,normal
227,152,1,68,25,normal
50,79,89,80,23,normal
606,680,17,21,20,normal
171,335,17,22,23,normal
808,285,6,20,25,normal
789,25,17,23,53,normal
565,400,6,22,53,normal
353,208,6,25,25,normal
476,658,89,68,22,normal
606,86,1,53,23,normal
92,119,17,25,21,normal
573,339,17,80,23,normal
906,752,1,53,22,normal
873,722,17,80,20,normal
293,538,6,53,53,normal
139,716,89,23,80,normal
99,395,17,22,20,normal
648,691,6,20,23,normal
920,82,6,80,80,normal
80,33,89,20,25,normal
909,580,17,22,21,normal
405,161,6,53,25,normal
928,62,6,20,23,normal
725,723,1,22,53,normal
128,35,17,53,53,normal
844,128,17,80,25,normal
918,770,6,22,68,normal
55,314,17,53,22,normal
786,297,6,53,80,normal
502,987,6,23,20,normal
886,839,17,20,25,normal
40,238,17,53,21,normal
485,878,17,25,53,normal
407,740,6,68,79,normal
181,320,6,25,21,normal
494,771,6,22,20,normal
731,275,17,80,80,normal
218,761,6,21,53,normal
159,265,1,21,21,normal
955,365,6,22,21,normal
946,172,89,23,20,normal
957,362,6,20,53,normal
760,688,6,21,53,normal
261,505,17,23,80,normal
193,751,17,21,22,normal
772,810,6,22,22,normal
325,661,17,22,20,anomaly
535,511,6,22,21,normal
192,71,17,80,68,normal
787,176,17,21,53,normal
422,571,17,25,20,normal
378,801,6,53,80,normal
225,749,6,53,22,normal
108,45,17,22,22,normal
18,137,6,23,79,normal
265,685,17,53,22,normal
182,133,6,79,53,normal
330,865,17,21,21,normal
759,333,6,20,53,normal
157,246,6,80,53,normal
65,875,17,22,80,normal
812,128,17,80,80,normal
387,553,1,25,80,normal
931,580,17,68,53,normal
947,148,17,68,21,normal
533,929,17,23,79,normal
54,399,6,20,53,normal
724,755,6,20,23,normal
655,321,6,80,21,normal
661,435,17,53,53,normal
6,347,6,80,21,normal
577,256,1,20,25,normal
740,574,6,53,21,normal
866,100,6,25,25,normal
35,276,17,25,80,normal
759,58,17,25,21,normal
632,487,6,79,21,normal
670,162,17,23,22,normal
27,107,6,20,53,normal
176,321,17,80,53,normal
17,936,6,20,20,normal
717,642,6,22,21,normal
825,122,17,53,23,normal
667,271,17,22,23,normal
520,192,1,21,20,normal
891,128,6,23,53,normal
110,925,17,25,53,normal
949,76,6,80,23,normal
251,362,17,53,53,normal
516,493,89,23,25,normal
