srcIP,dstIP,protocol,sPort,dPort
881,296,6,80,25
799,20,6,80,22
897,790,17,80,21
41,994,17,23,53
361,535,6,21,22
788,410,6,23,23
219,834,6,25,80
514,134,6,23,68
463,935,17,21,21
415,291,6,20,53
427,351,6,21,20
480,924,6,23,80
260,407,6,20,80
775,391,6,80,53
866,379,1,79,23
354,287,6,23,25
803,401,6,80,68
279,651,6,80,53
690,159,17,53,68
542,302,1,21,21
419,383,1,53,53
746,323,6,53,80
691,294,6,21,80
473,518,6,53,25
979,319,17,21,25
410,3,17,25,80
192,404,17,21,21
896,85,17,80,53
173,838,6,80,25
15,262,6,25,25
244,98,17,22,53
38,763,17,21,53
553,806,17,53,20
16,499,1,80,20
673,415,17,25,22
635,517,6,79,53
855,67,17,20,53
350,476,6,80,25
741,448,6,20,68
588,608,6,25,22
888,526,6,80,25
410,61,6,53,22
655,325,17,80,80
785,992,6,25,21
348,695,17,20,80
985,117,17,23,80
379,433,6,23,80
868,179,6,53,53
709,780,6,22,80
394,97,6,21,25
475,211,17,79,53
735,62,17,21,53
647,127,1,20,23
532,238,17,20,23
404,548,6,80,20
317,651,6,20,20
118,333,17,68,80
465,663,6,80,79
230,947,17,23,80
518,2,17,20,53
588,777,6,21,20
283,865,17,53,22
16,138,1,80,21
35,442,1,25,80
86,133,6,25,80
329,532,17,20,53
434,131,17,80,25
452,433,6,25,22
269,658,6,25,53
976,123,6,80,22
795,191,1,79,68
734,739,17,23,53
764,178,17,53,25
248,455,17,53,21
526,118,6,79,21
275,597,6,80,53
473,161,6,23,23
680,602,6,22,53
342,298,6,21,23
477,370,17,22,23
106,55,6,21,53
384,885,6,80,53
881,126,6,53,53
897,958,17,21,80
239,88,6,23,21
797,882,6,53,25
577,747,17,53,20
67,561,89,79,21
419,452,6,25,25
699,987,6,53,53
705,132,1,80,53
690,728,17,53,80
307,220,6,80,53
516,874,6,21,79
678,897,17,80,23
904,214,6,68,53
548,632,6,22,79
170,548,1,25,23
116,584,6,20,80
236,424,17,21,22
509,590,17,68,53
957,1,6,21,20
704,357,6,68,23
331,996,6,80,80
85,387,17,20,20
274,145,6,80,80
112,115,17,21,80
432,703,6,25,23
407,344,6,53,53
491,557,6,80,25
195,89,17,53,53
312,166,6,22,80
290,822,17,53,79
79,713,6,80,53
425,89,6,23,80
354,987,17,25,80
769,574,17,80,80
864,687,17,53,80
48,334,1,80,80
591,621,6,23,80
993,37,6,20,80
40,249,6,80,53
799,546,17,22,80
581,117,17,20,53
438,298,17,80,21
458,760,17,22,22
223,602,6,25,22
712,428,17,80,53
642,529,17,53,25
213,715,17,80,20
369,397,89,53,25
243,217,6,53,21
185,411,17,21,21
73,578,17,53,22
544,877,17,23,80
415,633,17,21,80
823,632,17,53,80
347,553,17,23,23
915,30,89,22,80
263,817,6,21,80
684,26,6,68,53
956,21,17,53,53
135,439,17,79,23
753,951,1,53,53
20,300,6,23,25
343,265,6,20,22
773,860,17,80,21
1,338,17,53,20
512,233,6,53,53
483,149,17,23,20
67,99,6,25,21
304,861,17,22,80
236,836,17,20,80
888,898,6,23,22
32,728,6,53,80
955,766,17,80,79
787,16,17,23,25
31,781,17,79,25
